Company,Role Title,Location,Posted Date,URL,Status
N26,Information Security Controls Manager - Cloud & AI Governance,Berlin Germany,2026-09,https://www.ai-governance-jobs.com/jobs/information-security-controls-manager-cloud-and-ai-governance-n26-berlin/,VERIFIED
N26,ICT GRC - ICT Governance Senior Manager,Berlin Germany,2026-09,https://www.ai-governance-jobs.com/jobs/ict-grc-ict-governance-senior-manager-n26-berlin/,VERIFIED
Robinhood,ICT Risk Oversight Lead,Luxembourg,2026-08,https://www.ai-governance-jobs.com/jobs/ict-risk-oversight-lead-robinhood-luxembourg/,VERIFIED
